GSSCode,AccomType2011,Ethnic2011,HouseholdComp2011,Soecono2011,Tenure2011,Income2011,Qualification2011,Depriavation2011,Umemploy2011,HousingPrice2011,ChangAccomType,ChangeEthnic,ChangeHousehold,ChangeSoecono,ChangeTenure,ChangeIncome,ChangeQualification,ChangeDepriavation,ChangeUmemploy,ChangeHousingPrice
E01001458,16.6,38.95,59.78,88.79,34.45,26550,19,54.11,15.18,135000,-5.42,16.02,-6.96,1.81,7.88,3.38,2.22,-1.2,-0.38,61.43
E01001459,17.33,40.33,70.07,93.76,25.96,32770,24.1,23.28,8.07,219250,6.71,22.35,13.43,6.26,8.92,3.56,5.09,3.71,1.68,81.01
E01001460,39.83,45.98,57.44,91.17,27.13,29600,21.4,36.61,12.1,183000,-1.85,20.27,4.5,-1.02,-4.68,0.32,2.27,1.84,5.36,122.49
E01001461,37.67,38.4,52.54,89.99,39.17,28010,20.4,39.3,14.58,240000,-0.84,20.55,-16.02,-3.7,2.89,6.93,2.11,-5.42,3.15,203.08
E01001462,41.82,48.32,58.5,92.87,38.78,30350,23.5,30.33,11.77,156500,2.18,24.39,8.1,4.49,10.66,-0.94,4.42,-0.59,4.32,105.84
E01001463,24.44,36,73.45,89.87,30.41,32270,20.6,21.5,9.34,225500,5.02,18.86,5.47,-0.91,8.72,2.06,3.43,0.81,3.03,97.81
E01001464,9.43,26.2,73.18,91.11,32.04,28770,16.7,35.7,9.36,250000,0.78,16.66,-3.1,3.51,8.03,5.85,4.23,-5.59,0.06,93.8
E01001465,17.51,34.77,72.28,90.51,24.61,32460,22.7,26.19,11.1,238000,5.3,13.22,6.31,2.71,3.76,3.17,6.58,-0.74,3.5,68.79
E01001466,13.78,38.46,60.67,90.37,31.4,30800,21.5,29.63,10.99,185000,5.95,16.89,-2.7,1.12,8.88,-1.49,-0.79,7.37,4.83,71.22
E01001467,17.9,41.7,61.1,90.28,29.85,32140,23.7,30.48,9.59,210000,7.27,19.92,-1.18,-1.7,8.7,6.11,7.17,3.94,2.34,92.22
E01001468,38.28,11.55,68.25,66.54,33.57,43260,34.4,23.38,3.31,244250,-1.42,4.48,8.65,-2.73,3.72,6.59,0.91,-2.24,-0.65,-2.93
E01001469,31.36,8.78,71.72,78.62,29.2,39810,31.3,20.03,6.21,250000,1.58,4.57,5.51,0.4,3.04,8.7,7.92,0.99,0.57,82.83
E01001470,20.86,7.04,65.95,70.59,17.77,43490,31.4,8.58,4.12,400000,-1.04,3.64,-1.42,4.88,1.97,8.33,8.39,-2.59,-0.2,88.9
E01001471,13.87,8.13,49.62,64.39,24.7,41580,36.2,17.77,6.78,220000,-2.03,5,5.67,2.38,4.38,6.47,4.62,4.78,2.64,101.26
E01001472,44.75,6.48,64.83,69.31,27.74,41140,36.9,13.93,5.45,226250,-5.51,3.58,4.77,5.85,2.62,3.7,5.85,4.42,1.43,64.7
E01001473,12.85,10.97,70.88,78.51,29.36,40810,27.8,18.54,8.63,440000,-2.07,5.46,1.75,-3.9,7.07,6.37,7.63,-4.65,3.69,127.39
E01001474,29.82,6.12,60.66,56.83,23.11,45130,42,10.91,3.33,275000,-6.13,3.15,3.27,-4.19,3.17,7.04,9.86,1.19,0.67,17.46
E01001475,11.84,14.14,64.13,64.54,15.61,45220,38.8,6.11,4.58,457500,-0.09,6.36,7.93,-3.73,1.88,8.71,11.16,-4.23,1.61,90.58
E01001476,29.83,35.06,71.64,94.18,32.17,31940,21.6,24.19,8.68,183000,2.89,21.39,9.07,5.57,7.59,6.84,5.13,1.1,2.04,71.83
E01001477,22.51,33.37,70.79,93.13,37.6,30410,19.8,34.92,9.99,208000,6.64,21.87,0.82,4.53,9.56,6.37,8.21,-1.03,1.6,69.97
E01001478,20.33,24.57,73.72,90.46,28.36,34150,21.2,24.74,9.17,230000,3.57,16.89,12.68,2.08,8.86,8.52,7.6,5.43,3.85,81.11
E01001479,40.31,40.49,69.39,92.41,34.87,31190,21.4,32.12,9.72,205000,14.07,22.57,-1.2,2.57,13.76,6.61,3.75,1.38,1,92.16
E01001480,31.59,35.17,66.16,93.01,30.42,32850,23.2,25.81,8.88,247000,1.72,23.64,4.06,6.74,5.69,5.72,5.95,2.56,3.67,245.45
E01001481,15.4,35.98,73.35,92.53,27.51,31890,19.2,26.35,9.33,232500,4.09,20.43,6.78,2.1,10.45,3.91,4.13,2.32,2.35,85.26
E01001482,27.98,42.66,64.52,93.32,41.34,29580,19.5,34.05,11.36,226000,2.87,20.53,1.69,0.99,14.17,3.66,5.51,3.63,3.54,171.31
E01001483,12.51,41.16,31.24,94.21,29.89,27290,19.4,48.13,13.13,118750,-1.45,20.29,-10.89,2.87,-10.01,3.73,3.99,5.77,0.42,90.57
E01001484,14.22,26.1,77.33,92.37,22.62,33690,22.8,23.23,7.31,235000,4.74,15.05,15.12,10.56,6.88,8.34,8.88,4.74,2.17,90.67
E01001485,29.57,43.42,71.39,93.37,43.93,28460,20.2,42.19,10.98,188000,8.97,19.04,-0.84,4.34,10.56,1.09,2.82,2.95,2.21,89.29
E01001486,29.5,41.51,64.69,91.97,46.54,27100,17.9,39.91,12.15,152500,3.26,21.01,3.22,-2.46,13.55,-2.05,0.99,6.31,2.47,42.03
E01001487,25.95,47.79,68.83,92.89,45.23,28890,20,35.43,12.06,202000,11.89,24.56,1.77,-3.49,19.31,-1.85,0.96,3.06,5.22,77.97
E01001488,23.83,42.74,67.14,93.33,32.96,31940,21.9,25.2,11.49,208500,8.35,22.35,4.16,4.96,13.34,2.39,3.13,2.35,5.82,82.9
E01001489,24.08,40.42,71.97,92.6,34.7,30320,19.8,33.96,8.7,213500,9.54,22.02,0.97,-1.53,10.87,6.64,3.37,-1.03,0.83,87.28
E01001491,30.51,46.7,67.01,93.34,41.19,29970,20.9,33.74,11.28,210000,10.81,24.09,-3.51,2.8,13.35,6.23,2.78,-3.94,-0.67,106.65
E01001492,24.92,42.72,73.02,91.83,34.75,29860,21.7,36.38,11.41,220000,5.08,23.53,5.64,3.28,9.33,1.41,2.71,5,5.98,92.67
E01001493,42.36,19.89,69.15,88.25,43.33,34970,28.3,29.43,9.74,294500,-0.98,9.06,2.42,1.82,5.42,3.53,7.11,-9.3,1.98,141.15
E01001494,12.22,30.92,69.37,80.83,18.75,36920,26.8,17.99,7.29,300750,1.73,14.5,10.27,-7.74,4.16,2.26,5.63,-0.35,1.55,63.67
E01001495,42.5,17,60.45,70.15,25.93,40090,45.7,16.32,4.78,248750,4.03,7.74,10.29,-1.76,2.02,1.14,5.82,-1.63,-1.26,83.66
E01001496,28.19,26.71,72.64,78.43,20.03,39460,31.4,14.38,5.21,366250,1.47,10.87,11.66,-2.6,3.61,2.65,5.34,-0.64,-0.78,98.93
E01001497,17.15,25.31,72.83,90.97,26.03,35830,26.3,29.68,7.69,265000,2.35,10.25,12.54,2.08,8.21,5.31,6.56,10.98,1.85,75.05
E01001498,41.41,23.93,70.4,79.06,24.78,39360,40.2,20.86,6.48,257500,7.8,9.95,9.28,1.05,1.79,3.66,2.85,2.22,-2.09,84.92
E01001499,15.49,31.85,76.54,85.92,24.07,36400,27.4,22.82,10.46,305000,3.06,15.24,11.03,1.14,6.95,6.02,6.14,1.74,2.81,81.14
E01001500,21.65,26.56,70.5,80.73,26.94,38270,32.2,27.21,5.93,370999.5,6.55,12.71,3.25,2.79,7.76,3.55,0.97,7.8,0.59,143.88
E01001501,40.37,25.68,57.25,75.91,38.68,37030,39,28.1,6.64,235000,-6.12,12.42,11.66,0.75,1.99,2.71,2.79,4.46,1.57,129.97
E01001502,28.21,38.66,71.09,82.98,39.51,30440,18.7,26.83,9.17,230000,8.02,21.77,5.36,5.96,16.35,2.74,4.28,4.57,2.45,95.64
E01001503,25.26,34.05,74.03,91.22,32.86,31040,20.7,27.73,9.33,218997.5,7.58,22.85,7.78,6.45,8.96,-1.19,2.72,3.89,4.61,89
E01001504,28.59,30.15,74.58,90.71,29.74,30880,17.2,36.72,9.86,212000,4.26,17.12,10.78,2.66,10.68,2.23,2.82,11.06,2.57,116.6
E01001505,34.62,36.6,70.68,90.67,36.84,30090,21.3,32.2,11.83,208500,5.87,24.61,5.72,-1.89,7.19,2.08,8.13,2.66,6.38,84.72
E01001506,32.42,39.94,59.31,90.35,42.54,29010,21.4,38.83,12.86,211500,8.22,22.44,-1.66,-5.49,10.24,4.37,6.24,2.78,2.5,100.59
E01001507,26,37.26,62.18,94.18,42.87,28000,22.4,42.61,11.68,160000,-4.29,20.77,0.13,1.77,5.17,-0.74,3.38,7.66,3.27,122.23
E01001508,38.56,42.12,63.2,95.34,43.14,30150,28.1,31.67,10.53,195000,10.62,24.09,-5.59,6.16,15.46,-3.2,8.58,0.38,2.88,121.44
E01001509,28.09,44.92,59.1,95.11,36.92,28160,20.3,35.02,10.2,142500,0.06,24.81,-2.1,1.97,6.1,-3.74,0.81,8.51,1.96,96.06
E01001510,2.7,37.81,43.81,84.55,7.81,25900,16.3,49.29,18.17,,-2.53,19.13,-0.94,24.52,0.94,10.46,2.94,1.78,1.02,0
E01001511,12.94,19.38,65.02,83.58,21.44,36410,28,21.21,6.39,240000,3.66,11.69,2.85,0.44,4.32,5.81,7.27,7.88,2.32,80.28
E01001512,33.92,11.63,59.91,80.29,26.69,35770,32.7,21.3,6.77,222500,2.87,6.95,8.95,6.41,4.49,-0.28,7.54,6.68,2.41,85.71
E01001513,27.04,17.63,62.62,94.81,36.13,31600,20.8,31.24,9.39,202500,4.13,11.82,-5.35,3.87,6.55,1.69,6.29,4.03,2.99,53.21
E01001514,23.06,15.74,70.6,81.92,30.23,36570,30.2,21.63,7.69,220000,2.71,9.98,5.13,-0.81,8.58,6.35,6.73,-1.23,2.87,79.96
E01001515,13.55,29.43,56.82,92.99,29.22,30450,24.1,34.59,12.81,180000,-2,20.03,-6.34,0.49,5.53,-1.66,9.71,-9.87,3.27,74.97
E01001516,25.89,23.07,75.53,94.14,36.44,32050,18.6,31.53,9.12,249000,2.39,16.97,3,3.34,9.99,3.29,6.35,-5.96,3.29,114.08
E01001517,12.58,27.33,67.78,88.8,25.53,26650,15.3,54.55,14.42,175000,0.28,20.31,-1.95,0.19,7.28,-1.44,5.67,-6.68,2.28,118.85
E01001518,33.4,14.9,68.95,77.95,24.86,37650,33,19.7,7.12,265000,5.47,8.94,2.82,-4.35,2.79,10.71,6.65,7.23,1.77,82.77
E01001519,13.59,26.57,59.05,69.1,21.13,38790,46.1,15.58,6.62,222000,0.28,17.41,15.07,4.21,-9.14,-4.08,0.34,9.9,3.22,81.97
E01001520,31.22,20.86,74.59,72.7,34.09,40260,39.5,15.59,6.79,280000,-0.33,8.86,1.64,-7.15,6.5,6.68,7.55,2.69,0.35,70.21
E01001521,33.27,16.95,65.15,64.07,30.41,45470,47.4,10.12,5.3,365000,-1.45,9.47,-0.58,1.6,5.08,7.86,11.62,2.88,2.33,62.23
E01001522,23.81,18.98,54.33,70.53,33.33,41270,42.9,12.9,5.84,248000,-8.88,12.37,4.2,9.75,3.57,-2.69,7.1,-3.21,1.66,61.11
E01001523,22.42,12.13,67.89,69.88,21.46,41950,38.7,6.75,6.85,292500,0.96,5.85,0.83,5.35,4.1,5.9,7.43,1.85,3.89,79.2
E01001524,27.09,27.43,68.9,82.05,32.24,40500,34.2,17.54,8.67,465000,0.19,12.9,2.31,-0.39,3.14,6.7,3.56,-2.31,2.48,135.95
E01001525,33.27,16.63,74.14,76.21,27.3,39740,38.7,19.65,5.83,301250,1.01,7.19,5.15,0.11,4.64,2.78,3.27,2.04,-0.61,76.92
E01001526,20.38,13.99,68.1,68.96,18.59,42540,38.7,7.59,5.96,270000,2.31,5.35,1,-1.31,2.48,3.51,5.18,-1.19,0.27,18.65
E01001527,48,20.74,72.2,72.31,31.28,41410,40.2,17.21,5.35,272500,-0.16,9.39,5.5,-5.22,3.32,8.42,6.66,-5.49,-0.35,39.97
E01001528,13.53,35.54,66.31,92.12,28.52,32790,24.2,41.25,11.6,187500,-1.04,19.71,0.04,-1.43,7.29,7.29,5.58,1.22,-0.88,87.03
E01001529,24.28,28.27,58.75,93.13,36.34,33450,29.2,37.82,9.38,165000,-4.42,11.34,5.69,3.14,-5.93,-2.05,-2.81,-2.13,-1.75,44.42
E01001530,10.98,29.9,73.95,77.92,29.43,38880,40.4,20.84,7.93,295000,-2.78,7.81,-3.12,-2.96,0.58,7.37,8.54,-5.38,-0.13,71.39
E01001531,30.69,12.34,61.34,57.62,19.29,48970,50,9.56,3.79,472250,3.47,5.79,0.46,-3.17,3.39,9.41,9.43,1.62,1.02,60.87
E01001532,41.73,13.06,62.75,52.51,21.31,47650,52.7,8.68,3.33,530000,3.24,7.29,1.42,-6.03,3.89,12.83,8.36,3.02,0.62,193.43
E01001533,8.4,16.42,61.2,61.25,14.99,47590,43.6,5.88,4.79,524950,1.49,6.28,6.43,-6.87,1.98,9.05,12.2,1.29,0.29,70.72
E01001534,25.82,26.87,73.24,76.19,25.3,41530,39.8,15.68,4.68,418750,3.16,13.71,2.95,2.46,1.73,7.71,9.24,4.6,1.62,101.93
E01001535,14.07,22.57,69.87,73.69,21.39,44910,37.1,14.07,5.46,680000,-0.74,8.61,9.78,-1.62,0.24,12.22,8.65,4.13,-1.02,195.41
E01001536,39.82,5.19,69.4,64.06,28.92,42590,41.1,17.04,5.71,320000,-2.06,2.39,10.02,-4.52,-0.13,6.77,9.8,4.17,1.9,62.75
E01001537,39.69,7.31,63.45,76.84,24.66,39210,30.3,14.63,5.41,195000,7.9,4.69,2.42,0.69,2.14,8.39,8.41,6.47,1.7,69.93
E01001538,17.42,6.02,59.75,73.85,15.93,42210,26.7,9.32,5.23,307500,0.88,2.72,9.28,1.52,1.65,7.05,8,2.84,2.54,71.88
E01001539,21.02,6.88,61.9,71.47,22.44,41310,29.5,13.16,5.16,275000,3.51,4.28,4.71,0.59,5.53,6.85,12.35,4.35,2.26,79.74
E01001540,34.4,7.16,63.88,67.35,26.17,40740,39.8,13.39,6.64,197500,-0.51,4.99,-0.24,-1.17,4.37,4.86,10.99,3.8,2.69,51.49
E01001541,24.88,6.11,51.25,60.36,23.33,43200,40.9,8.45,4.41,290750,1.01,3.45,-1.81,-4.78,3.15,7.89,12.76,3.22,1.54,83.73
E01001542,30.5,9.63,67.8,84.07,36.28,37370,30,19.76,7.41,193750,0.25,5.68,-1.55,2.11,3.14,6.53,7.53,-0.37,3.69,82.17
E01001543,16.91,8.57,59.36,74.58,16.31,42250,25.9,10.51,5.24,323000,0.1,5.43,2.66,3.17,2.15,7.09,8.69,3.83,2.88,70.11
